Tickers	Company	GICS.Sector
ANET	Arista Networks	Information Technology
LKQ	LKQ Corporation	Consumer Discretionary
NFLX	Netflix Inc.	Communication Services
HES	Hess Corporation	Energy
HSY	The Hershey Company	Consumer Staples
CSX	CSX Corp.	Industrials
ILMN	Illumina Inc	Health Care
TTWO	Take-Two Interactive	Communication Services
TSN	Tyson Foods	Consumer Staples
ETSY	Etsy	Consumer Discretionary
CMS	CMS Energy	Utilities
CLX	The Clorox Company	Consumer Staples
LH	Laboratory Corp. of America Holding	Health Care
FCX	Freeport-McMoRan Inc.	Materials
LVS	Las Vegas Sands	Consumer Discretionary
LW	Lamb Weston Holdings Inc	Consumer Staples
BAC	Bank of America Corp	Financials
EXC	Exelon Corp.	Utilities
INCY	Incyte	Health Care
SYK	Stryker Corp.	Health Care
A	Agilent Technologies Inc	Health Care
NI	NiSource Inc.	Utilities
RSG	Republic Services Inc	Industrials
ED	Consolidated Edison	Utilities
DISH	Dish Network	Communication Services
AWK	American Water Works Company Inc	Utilities
IDXX	IDEXX Laboratories	Health Care
MKC	McCormick & Co.	Consumer Staples
JNJ	Johnson & Johnson	Health Care
CXO	Concho Resources	Energy
CME	CME Group Inc.	Financials
KLAC	KLA Corporation	Information Technology
BKR	Baker Hughes Co	Energy
CAG	Conagra Brands	Consumer Staples
ADSK	Autodesk Inc.	Information Technology
FTV	Fortive Corp	Industrials
AMGN	Amgen Inc.	Health Care
CDNS	Cadence Design Systems	Information Technology
TRV	The Travelers Companies Inc.	Financials
MDT	Medtronic plc	Health Care
NKE	Nike, Inc.	Consumer Discretionary
RE	Everest Re Group Ltd.	Financials
GRMN	Garmin Ltd.	Consumer Discretionary
PRGO	Perrigo	Health Care
AVY	Avery Dennison Corp	Materials
GL	Globe Life Inc.	Financials
WST	West Pharmaceutical Services	Health Care
NEM	Newmont Corporation	Materials
FRT	Federal Realty Investment Trust	Real Estate
UNP	Union Pacific Corp	Industrials
ETR	Entergy Corp.	Utilities
SBUX	Starbucks Corp.	Consumer Discretionary
VTRS	Viatris	Health Care
BRK.B	Berkshire Hathaway	Financials
GIS	General Mills	Consumer Staples
BBY	Best Buy Co. Inc.	Consumer Discretionary
URI	United Rentals, Inc.	Industrials
