ticker	Index	Market Cap	Income	Sales	Book/sh	Cash/sh	Dividend	Dividend %	Employees	Optionable	Shortable	Recom	P/E	Forward P/E	PEG	P/S	P/B	P/C	P/FCF	Quick Ratio	Current Ratio	Debt/Eq	LT Debt/Eq	SMA20	EPS (ttm)	EPS next Y	EPS next Q	EPS this Y	EPS next 5Y	EPS past 5Y	Sales past 5Y	Sales Q/Q	EPS Q/Q	Earnings	SMA50	Insider Own	Insider Trans	Inst Own	Inst Trans	ROA	ROE	ROI	Gross Margin	Oper. Margin	Profit Margin	Payout	SMA200	Shs Outstand	Shs Float	Short Float	Short Ratio	Target Price	52W Range	52W High	52W Low	RSI (14)	Rel Volume	Avg Volume	Volume	Perf Week	Perf Month	Perf Quarter	Perf Half Y	Perf Year	Perf YTD	Beta	ATR	Volatility	Prev Close	Price	Change
MSFT	DJIA S&P500	1600.78B	47.50B	147.11B	16.31	18.36	2.24	1.05%	163000	Yes	Yes	1.60	34.37	28.52	2.36	10.88	13.06	11.60	47.44	2.50	2.50	0.60	0.54	-2.59%	6.20	7.47	1.64	13.40%	14.55%	31.30%	8.90%	12.40%	31.40%	Oct 27 AMC	-1.26%	0.10%	-7.27%	71.90%	-0.01%	16.20%	40.70%	23.10%	68.30%	38.10%	32.30%	32.60%	5.32%	7.57B	7.56B	0.53%	1.42	241.21	132.52 - 232.86	-8.21%	61.29%	44.41	0.94	28.06M	19,554,820	-2.41%	-0.55%	-3.55%	4.46%	30.54%	-4.23%	0.84	4.09	1.59% 1.83%	213.02	213.74	0.34%
BKR	S&P 500	24.76B	-10544.00M	21.56B	25.32	3.89	0.72	3.04%	58000	Yes	Yes	2.00	-	40.39	-	1.15	0.94	6.10	-	1.00	1.40	0.45	0.39	5.36%	-15.76	0.59	0.16	12.00%	5.03%	-43.30%	-0.60%	-14.20%	-338.70%	Jan 21 BMO	12.85%	0.10%	-96.39%	96.20%	-0.04%	-50.30%	-95.90%	1.40%	16.10%	-	-96.50%	-	41.84%	676.00M	656.36M	6.48%	5.94	23.25	9.12 - 24.04	-4.80%	150.93%	62.18	0.67	7.15M	3,568,010	4.59%	9.36%	80.30%	54.06%	1.67%	13.72%	1.79	0.81	3.79% 3.27%	23.71	22.89	-3.48%
PAYX	S&P 500	31.59B	1.06B	3.97B	8.03	11.88	2.48	2.82%	15600	Yes	Yes	2.90	30.04	27.97	6.68	7.95	10.97	7.41	77.39	1.30	1.30	0.28	0.28	-5.56%	2.93	3.15	0.92	6.20%	4.50%	10.40%	8.10%	-0.70%	4.90%	Dec 23 BMO	-4.85%	10.70%	-2.44%	72.70%	-0.02%	12.10%	37.80%	31.30%	-	35.40%	26.70%	84.10%	11.89%	360.00M	321.90M	1.88%	3.93	95.33	47.87 - 99.95	-12.29%	83.12%	34.08	0.75	1.54M	861,608	-3.78%	-3.57%	4.42%	21.08%	0.80%	-5.48%	0.87	1.86	1.60% 2.21%	88.07	87.67	-0.46%
ABMD	S&P 500	14.36B	207.80M	802.90M	26.22	11.81	-	-	1536	Yes	Yes	2.30	69.87	62.83	4.09	17.89	12.14	26.95	58.38	6.00	6.80	0.00	0.00	6.10%	4.56	5.07	1.13	-21.00%	17.10%	10.80%	29.60%	2.30%	378.60%	Oct 29 BMO	15.60%	1.00%	-21.65%	97.50%	0.03%	16.70%	18.90%	17.90%	80.80%	27.30%	25.90%	0.00%	28.02%	45.10M	44.14M	4.38%	6.75	324.60	119.01 - 330.80	0.02%	178.01%	71.08	1.13	286.15K	240,753	-1.62%	18.94%	13.34%	16.58%	78.91%	-1.82%	1.42	9.73	2.36% 3.39%	318.31	330.86	3.94%
GWW	S&P 500	20.75B	630.00M	11.70B	39.76	15.87	6.12	1.60%	23800	Yes	Yes	2.60	32.76	20.84	5.65	1.77	9.64	24.16	40.13	1.70	3.00	1.13	1.12	-3.76%	11.70	18.40	3.82	12.10%	5.80%	6.30%	2.90%	2.40%	3.90%	Feb 02 BMO	-3.96%	0.30%	-44.50%	73.70%	0.26%	9.30%	32.60%	23.30%	36.70%	7.90%	5.40%	49.80%	12.47%	53.60M	46.34M	1.57%	2.29	396.20	200.61 - 427.90	-9.36%	93.33%	40.82	0.85	316.22K	199,085	-4.15%	-4.26%	-0.74%	15.02%	13.01%	-6.11%	1.16	9.09	2.95% 2.25%	383.40	387.83	1.16%
GL	S&P 500	10.16B	714.60M	4.65B	77.49	0.76	0.75	0.78%	3196	Yes	Yes	2.90	14.66	12.74	1.99	2.19	1.25	126.89	7.85	-	-	0.24	0.20	1.78%	6.59	7.58	1.76	12.40%	7.37%	11.40%	4.60%	4.70%	-3.00%	Oct 21 AMC	2.70%	1.70%	-20.72%	76.40%	-0.06%	2.70%	9.60%	9.50%	-	20.70%	15.40%	10.80%	16.48%	106.15M	102.55M	1.12%	2.61	97.43	56.74 - 111.43	-14.04%	68.82%	55.51	0.53	437.66K	173,392	-0.40%	5.24%	18.47%	27.13%	-6.88%	1.71%	1.13	1.95	1.54% 2.02%	96.58	95.79	-0.82%
ESS	S&P 500	15.30B	601.90M	1.51B	93.25	8.65	8.31	3.51%	1822	Yes	Yes	2.60	25.98	55.97	3.29	10.14	2.54	27.40	54.80	-	-	1.09	1.09	1.89%	9.13	4.24	1.03	12.80%	7.90%	26.40%	8.50%	1.10%	-25.00%	Oct 28 AMC	-1.42%	2.62%	0.00%	99.20%	0.09%	4.60%	9.70%	-	71.40%	31.10%	39.90%	88.10%	4.21%	65.23M	63.50M	1.40%	1.71	259.95	175.81 - 329.74	-27.47%	36.03%	53.05	0.58	518.63K	225,221	2.41%	-1.32%	14.59%	5.72%	-21.71%	-0.14%	0.76	5.50	1.88% 2.35%	237.08	239.16	0.88%
VTRS	S&P 500	21.57B	266.40M	11.51B	24.28	0.60	-	-	35000	Yes	Yes	2.30	33.61	4.27	-	1.87	0.71	28.98	12.82	0.60	1.00	0.98	0.73	-5.03%	0.52	4.06	1.28	-95.00%	0.00%	-58.00%	8.30%	0.40%	-2.40%	-	-0.23%	0.10%	2.28%	40.50%	1.57%	0.90%	2.20%	2.30%	41.20%	8.00%	2.30%	0.00%	5.41%	516.90M	515.95M	7.88%	3.07	21.75	12.75 - 23.11	-25.85%	34.39%	41.44	1.26	13.25M	12,448,791	-6.53%	-0.12%	11.32%	2.79%	-21.50%	-7.63%	1.58	0.59	4.22% 3.09%	17.31	17.14	-1.01%
MKTX	S&P 500	19.34B	276.70M	647.60M	24.01	8.22	2.40	0.47%	527	Yes	Yes	2.80	70.54	61.19	3.55	29.87	21.33	62.31	119.17	-	-	0.00	0.00	-5.60%	7.26	8.37	1.83	18.50%	19.86%	22.30%	14.20%	24.60%	25.00%	Jan 27 BMO	-3.93%	2.60%	-16.23%	93.80%	0.12%	26.30%	33.30%	25.80%	95.00%	53.10%	42.70%	31.10%	4.76%	37.39M	36.85M	1.61%	2.14	584.00	275.49 - 606.45	-12.99%	91.54%	41.68	1.25	276.57K	258,089	-6.76%	-7.09%	-4.36%	-3.52%	39.11%	-10.25%	0.43	18.38	3.27% 3.02%	512.08	527.68	3.05%
HPQ	S&P 500	33.33B	2.84B	56.64B	-1.65	3.95	0.78	3.04%	53000	Yes	Yes	2.60	12.79	8.67	1.19	0.59	-	6.49	12.17	0.60	0.80	-	-	2.36%	2.00	2.95	0.66	-0.70%	10.74%	-0.20%	1.90%	-1.00%	88.40%	Nov 24 AMC	11.50%	0.10%	-37.91%	84.30%	0.11%	8.50%	-172.60%	76.10%	18.40%	6.00%	5.00%	43.50%	35.30%	1.35B	1.20B	1.12%	1.54	24.06	12.54 - 26.15	-3.23%	101.75%	63.09	0.66	8.76M	4,329,785	-0.50%	10.38%	31.38%	43.69%	19.61%	4.19%	1.02	0.54	1.76% 1.99%	25.62	25.30	-1.25%
