ticker	pdate	ptime	head_
HD	Jan-14-21	03:44PM	Companies donated $170M to GOP election objectors: RPT Yahoo Finance Video
HD	Jan-13-21	10:00AM	Dow Jones Today, Stocks Mixed Ahead Of Second Trump Impeachment Vote; Intel Spikes On Leadership Change Investor's Business Daily
HD	Jan-13-21	09:58AM	Home Depot Was a Pandemic Winner. One Analyst Now Says Its a Buy. Barrons.com
HD	Jan-12-21	05:50PM	Home Depot (HD) Outpaces Stock Market Gains: What You Should Know Zacks
HD	Jan-12-21	03:03PM	More companies pause political donations following Capitol riots Yahoo Finance Video
HD	Jan-12-21	02:25AM	Do Institutions Own The Home Depot, Inc. (NYSE:HD) Shares? Simply Wall St.
HD	Jan-11-21	06:16PM	5 Retailers Growing Fast GuruFocus.com
HD	Jan-11-21	05:45PM	Home Depot (HD) Gains As Market Dips: What You Should Know Zacks
HD	Jan-11-21	03:01PM	Why big donors are giving more radical Republicans a pass Yahoo Finance Video
HD	Jan-10-21	06:05AM	9 Dow Stocks With the Most Upside Potential, According to Wall Street Motley Fool
HD	Jan-09-21	12:37PM	15 Best Dividend Stocks with Upside Potential Insider Monkey
HD	Jan-08-21	11:52AM	5 Cyclical Companies Expanding Earnings GuruFocus.com
HD	Jan-08-21	10:38AM	Home Depot (HD) Witnesses Positive Trends in 2020: Will It Stay? Zacks
HD	Jan-08-21	08:00AM	2 Dividend Stocks to Buy Today Motley Fool
HD	Jan-07-21	11:01PM	11 Best Housing/Homebuilder Stocks To Buy Now Insider Monkey
HD	Jan-07-21	07:00AM	Five Retailers to Buy as the Economy Reopens Barrons.com
HD	Jan-06-21	06:00AM	3 Top Consumer Discretionary Stocks to Buy Now Motley Fool
HD	Jan-05-21	05:50PM	Home Depot (HD) Outpaces Stock Market Gains: What You Should Know Zacks
HD	Jan-04-21	08:20AM	2 Safe Dividend Stocks to Buy in 2021 Motley Fool
HD	Jan-04-21	08:00AM	Hot Housing Markets, Trends And Stocks For 2021  Plus The Risks Investor's Business Daily
HD	Jan-02-21	04:23PM	Barron's First Picks And Pans Of 2021: Disney, Home Depot, Intel, Nike, Nordstrom And More Benzinga
HD	Jan-02-21	04:30AM	Home Depot Nailed 2020. Why the Stock Could Do It Again in 2021. Barrons.com
HD	Dec-30-20	05:50PM	Home Depot (HD) Stock Sinks As Market Gains: What You Should Know Zacks
HD	Dec-30-20	10:51AM	A Trio of Stock Picks for the 'Buy and Hold' Approach GuruFocus.com
HD	Dec-30-20	09:34AM	Stock Market News for Dec 30, 2020 Zacks
HD	Dec-29-20	12:16PM	U.S. Home Prices Continue to Rise Investopedia
HD	Dec-29-20	08:31AM	3 Stocks to Keep Soaring as the 'Do-it-Yourself' Trend is Likely to Stay Zacks
HD	Dec-29-20	07:00AM	Retails Boom-and-Bust 2020, in 10 Charts Bloomberg
HD	Dec-29-20	06:30AM	Heres What to Expect From Major Retailers in the New Year Barrons.com
HD	Dec-28-20	03:14PM	5 Undervalued Stocks With High Predictability Ratings GuruFocus.com
HD	Dec-28-20	01:52PM	10 Best Dow Stocks To Buy Now Insider Monkey
HD	Dec-28-20	11:51AM	Is Lowe's Stock A Buy Now As Remodels Fuel Sales? Here's What Earnings, Stock Chart Show Investor's Business Daily
HD	Dec-28-20	11:01AM	Best Dividend Stocks for January 2021 Investopedia
HD	Dec-28-20	09:56AM	Home Depot (HD) Acquires HD Supply, Enhances MRO Portfolio Zacks
HD	Dec-24-20	02:09PM	15 Biggest Retailers In The World Heading Into 2021 Insider Monkey
HD	Dec-24-20	12:52PM	Online shopping is here to stay in 2021: Refinitiv Yahoo Finance Video
HD	Dec-24-20	10:00AM	The Home Depot Completes Acquisition of HD Supply PR Newswire
HD	Dec-21-20	04:42PM	Masco Corporation -- Moody's upgrades Masco Corp.'s senior unsecured rating to Baa2; outlook stable Moody's
HD	Dec-21-20	10:27AM	4 Retail Stocks That Could Get the Biggest Stimulus Boost Barrons.com
HD	Dec-21-20	10:11AM	The Zacks Analyst Blog Highlights: Tesla, Home Depot, Netflix, McDonald's and Bristol-Myers Squibb Zacks
HD	Dec-20-20	06:10AM	Home Depot and Lowe's are Having Huge Years: Can the Growth Continue? Motley Fool
HD	Dec-20-20	03:20AM	What Does The Home Depot, Inc.'s (NYSE:HD) Share Price Indicate? Simply Wall St.
HD	Dec-18-20	02:02PM	Top Stock Reports for Tesla, Home Depot & Netflix Zacks
HD	Dec-18-20	12:00PM	Is Lowe's Stock a Buy? Motley Fool
HD	Dec-18-20	10:30AM	20 consumer-discretionary stocks expected to make the most money for investors in 2021 MarketWatch
HD	Dec-18-20	10:00AM	3 Retailers That Are Likely to Thrive in 2021 Motley Fool
HD	Dec-18-20	09:49AM	Home Depot Will Pay Settlement for Lead-Safety Violations TheStreet.com
HD	Dec-18-20	07:45AM	3 Stocks to Hold for the Next 20 Years Motley Fool
HD	Dec-17-20	05:40PM	Top 15 Online Shopping Websites in the World in 2020 Insider Monkey
HD	Dec-17-20	04:25PM	Dow Jones Jumps As McConnell Says Stimulus Deal Is 'At Hand'; Nasdaq, S&P 500 Hit New Highs Investor's Business Daily
HD	Dec-17-20	03:01PM	National Retail Federation pushes for frontline retail workers to be among early COVID-19 vaccine recipients MarketWatch
HD	Dec-17-20	06:17AM	3 Dividend Stocks That Have Doubled Their Payouts in 5 Years Motley Fool
HD	Dec-16-20	07:35AM	Cramer Weighs In On Uber, Home Depot And More Benzinga
HD	Dec-15-20	08:23AM	4 Home Improvement Retailers to Keep Gaining Post-Pandemic Zacks
HD	Dec-11-20	04:59PM	3 Large-Cap Dividend Stocks to Buy and Hold Before 2021 Zacks
HD	Dec-11-20	10:11AM	10 Great Short-Term Stocks for Active Investors to Buy InvestorPlace
HD	Dec-10-20	11:01AM	Lowe's Cos. Composite Rating Climbs To 97 As Home Remodels Continue Investor's Business Daily
HD	Dec-10-20	10:13AM	NYC Steps Up Pressure on Major Companies to Release Diversity Data Bloomberg
HD	Dec-09-20	03:11PM	Nasdaq Hit Hard After A 1,785-Point Run Since Oct. 30; Will These Top Stocks Break Out? Investor's Business Daily
HD	Dec-09-20	10:38AM	Understanding Home Depot's Unusual Options Activity Benzinga
HD	Dec-09-20	07:42AM	Lowe's Rises as it Aims for More and More Market Share Investing.com
HD	Dec-09-20	06:00AM	Corporate America will truly be addressing racial justice when it costs something: Michael Eric Dyson Yahoo Finance Video
HD	Dec-08-20	09:40AM	If a New Stimulus Deal Gets Done, These 3 Stocks Will Win Motley Fool
HD	Dec-07-20	04:42PM	The Market Is Looking Past the Pandemic. That Could Hurt Some Winners. Barrons.com
HD	Dec-07-20	09:32AM	Why The Home Depot (HD) Stock Might be a Great Pick Zacks
HD	Dec-04-20	07:08PM	Lowe's Stock Could Blast 40% Higher, According to Analyst Motley Fool
HD	Dec-04-20	07:24AM	This Dividend Stock Has Something for Just About Every Investor Motley Fool
HD	Dec-03-20	12:59PM	Walmart Will Spend $700 Million on Worker Bonuses Barrons.com
HD	Dec-03-20	11:14AM	Zacks Earnings Trends Highlights: Target, Walmart, Home Depot and Lowe's Zacks
HD	Dec-03-20	09:45AM	3 Dividend-Raising Income Stocks to Buy in December Motley Fool
HD	Dec-03-20	09:30AM	Could Lowe's Be a Millionaire Maker Stock? Motley Fool
HD	Dec-02-20	03:06PM	'Significant' Black Friday Foot Traffic Drop Needs Context, Retail Data Firm Says Benzinga
HD	Dec-02-20	10:57AM	SHAREHOLDER ALERT: Rigrodsky & Long, P.A. Reminds Investors of Investigation of HD Supply Holdings, Inc. Buyout GlobeNewswire
HD	Dec-02-20	08:00AM	The Home Depot to Open Two New Distribution Centers in Newark Area PR Newswire
HD	Dec-01-20	11:07AM	Interest in hyper-local sourcing has skyrocketed during the pandemic: Fleet Farming Program Director Yahoo Finance Video
HD	Dec-01-20	10:37AM	The Zacks Analyst Blog Highlights: Mattel, Sony, Apple, Wayfair and Home Depot Zacks
HD	Dec-01-20	08:00AM	The Home Depot Expands Skilled Trades Initiative with "Path to Pro" Program PR Newswire
HD	Dec-01-20	07:16AM	2 Hot Dividend Stocks for Your Watch List Motley Fool
HD	Nov-30-20	11:09AM	Is The Home Depot (HD) A Good Stock To Buy Now? Insider Monkey
HD	Nov-30-20	10:22AM	Unusual Options Activity Insight: Home Depot Benzinga
HD	Nov-30-20	07:00AM	People Are Still Spending Less on Entertainment. These Stay-at-Home Stocks Will Benefit. Barrons.com
HD	Nov-30-20	05:00AM	Home Depot Deal Raises Buildings Materials M&A to Record Height Bloomberg
HD	Nov-27-20	05:40PM	Tesla Is About to Upend This Sector. What Investors Should Do Now. Barrons.com
HD	Nov-27-20	02:30PM	Buy Online ETFs and Stocks for Black Friday & Beyond Zacks
HD	Nov-27-20	02:21PM	Home Depot's Comparable Sales Surge Again GuruFocus.com
HD	Nov-27-20	10:05AM	Black Friday Turns Online This Year: 5 ETF Deals Zacks
HD	Nov-26-20	11:42PM	Should You Buy The Home Depot, Inc. (NYSE:HD) For Its Upcoming Dividend? Simply Wall St.
HD	Nov-26-20	08:59AM	How XOUT Capital Picks Retailers for Its Large-Cap Index Fund Barrons.com
HD	Nov-25-20	04:09PM	10 Best Construction Materials Stocks To Buy Now Insider Monkey
HD	Nov-25-20	11:50AM	3 Strong Performers to Consider GuruFocus.com
HD	Nov-25-20	07:00AM	A $2.9B Alternative Fund That Actually Works Barrons.com
HD	Nov-24-20	10:36PM	Venture Capitalists Discuss the Future of Gaming Motley Fool
HD	Nov-24-20	06:25PM	Dow Closes Above 30,000 at a New Record High Investopedia
HD	Nov-24-20	05:45PM	Home Depot agrees to $17.5 million settlement over massive data breach MarketWatch
HD	Nov-24-20	02:08PM	Dow Tops 30,000 For First Time Ever Investopedia
HD	Nov-24-20	01:41PM	Home Depot reaches $17.5 million settlement over 2014 data breach Reuters
HD	Nov-24-20	10:49AM	Black Friday 2020: Retail winners and losers Yahoo Finance
HD	Nov-24-20	10:25AM	Thanksgiving Canceled? Christmas Shopping Isnt. Bloomberg
HD	Nov-24-20	08:36AM	3 Home Improvement Stocks I'd Buy Right Now Motley Fool
HD	Nov-24-20	07:15AM	Lowe's Upgrades Its Market Share Challenge Against Home Depot Motley Fool
