ticker	pdate	ptime	head_
USB	Jan-11-21	09:17AM	4 Things to Expect From U.S. Bancorp in 2021 Motley Fool
USB	Jan-08-21	08:03AM	Bank Stock Roundup: USB, JPM, WFC & TFC in Focus on Restructuring Initiatives Zacks
USB	Jan-07-21	05:14PM	Analyst Upgrades JPMorgan, Downgrades US Bancorp As Bank Stocks Soar Benzinga
USB	Jan-07-21	10:29AM	U.S. Bancorp (USB) Signs Acquisition Deal With MUFG Union Bank Zacks
USB	Jan-07-21	09:10AM	U.S. Bancorp to Acquire Custody Services Portfolio Motley Fool
USB	Jan-06-21	04:00PM	U.S. Bank Acquires Debt Servicing and Securities Custody Services Client Portfolio of MUFG Union Bank Business Wire +5.92%
USB	Jan-06-21	02:25PM	Bank Stocks Are a Winner in the Georgia Vote Barrons.com
USB	Jan-05-21	05:01PM	U.S. Bancorp Announces Fourth Quarter Earnings Conference Call Details Business Wire
USB	Jan-04-21	11:18AM	Billionaire Daniel Sundheims Top 10 Stock Picks Insider Monkey
USB	Dec-28-20	03:14PM	5 Undervalued Stocks With High Predictability Ratings GuruFocus.com
USB	Dec-25-20	07:50AM	10 Best Value Stocks to Buy According to Warren Buffett Insider Monkey
USB	Dec-23-20	04:28AM	What You Need To Know About U.S. Bancorp's (NYSE:USB) Investor Composition Simply Wall St.
USB	Dec-22-20	11:42AM	U.S. Bancorp announces $3 billion common stock repurchase program Business Wire
USB	Dec-18-20	09:00AM	U.S. Bancorp Announces Redemption of Medium-Term Notes; U.S. Bank Announces Redemption of Senior Notes Business Wire
USB	Dec-17-20	01:22PM	Top Ranked Value Stocks to Buy for December 17th Zacks
USB	Dec-15-20	10:41AM	Top Ranked Value Stocks to Buy for December 15th Zacks
USB	Dec-14-20	01:38PM	Is USB A Good Stock To Buy Now? Insider Monkey
USB	Dec-14-20	10:01AM	A Look Into U.S. Bancorp's Price Over Earnings Benzinga
USB	Dec-14-20	05:51AM	3 Surefire Stocks to Buy When the Stock Market Inevitably Crashes Motley Fool
USB	Dec-11-20	08:52AM	Bank Stock Roundup: Upbeat Trading Outlook, Treasury Yields Decline, Citi in Focus Zacks
USB	Dec-09-20	09:00AM	U.S. Bancorp announces redemption of all outstanding depositary shares representing interests in its Series H non-cumulative perpetual preferred stock Business Wire
USB	Dec-09-20	08:09AM	One of Buffett's Favorite Stocks Looks Undervalued Motley Fool
USB	Dec-08-20	04:20PM	U.S. Bancorp announces quarterly dividends Business Wire
USB	Dec-04-20	07:51AM	Bank Stock Roundup: JPM, WFC & FITB Undertake Business Restructuring Initiatives Zacks
