NVIC	2e-04	0	0	Revocation of Exchange Act Registration Pursuant to Section 12(j) (revoked)	2021-01-13 12:25:04
CYP	1.73	-0.48	-21.72	Suspension de la négociation par l'OCRCVM - CYP	2021-01-13 12:25:00
CBGL	0.16	0.0048	3.09	Quarterly Report (10-q)	2021-01-13 12:23:25
MCTC	0	0	0	Quarterly Report (10-q)	2021-01-13 12:23:25
CYP	1.73	-0.48	-21.72	IIROC Trading Halt - CYP	2021-01-13 12:23:00
ETU	0.16	0	0	Inaugural Drilling Program Set to Launch at Hawkins; High-Grade Trench Results Reported Up to 9.6 g/t Gold Over 1.0m	2021-01-13 12:21:39
IIN	18.17	0.19	1.06	Statement of Changes in Beneficial Ownership (4)	2021-01-13 12:21:22
PESI	6.2236	-0.0064	-0.1	Amended Statement of Beneficial Ownership (sc 13d/a)	2021-01-13 12:19:57
XYL	105.12	-0.71	-0.67	Xylem to release fourth quarter 2020 financial results on February 4, 2021	2021-01-13 12:16:00
GS-A	23.724	0.354	1.51	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 12:10:40
GLSSP	0	0	0	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 12:10:40
GS-D	24.358	0.198	0.82	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 12:10:40
GS-N	26.02	0.12	0.46	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 12:10:40
GS-K	28.4415	0.2015	0.71	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 12:10:40
GS-C	24.67	0.27	1.11	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 12:10:40
GS	299.91	-2.3	-0.76	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 12:10:40
GS-J	26.799	0.209	0.79	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 12:10:40
LKFN	58.96	-0.63	-1.06	Statement of Changes in Beneficial Ownership (4)	2021-01-13 12:06:53
GFOOD	0.0498	0	0	Annual Report (10-k)	2021-01-13 12:05:45
GFOO	0.044	0	0	Annual Report (10-k)	2021-01-13 12:05:45
IGP	0	0	0	Imperial Ginseng Products Ltd. Announces Grant of Stock Options	2021-01-13 12:04:30
BELFA	15.3	0.45	3.03	Bel Acquires rms Connectors, Inc.	2021-01-13 12:01:53
BELFB	16.8	0.3	1.82	Bel Acquires rms Connectors, Inc.	2021-01-13 12:01:53
LTCUSD	139.1	5.88	4.41	Bitcoin News Roundup for Jan. 13, 2021	2021-01-13 12:00:03
BX	63.62	1.04	1.66	Blackstone Announces Appointment of Frank Slootman, Chairman and CEO of Snowflake, as Senior Advisor	2021-01-13 12:00:00
WKEY	7.7452	0.2752	3.68	WISeKey develops WISeToken utility token, a blockchain-based asset for drones and robots to secure IoT interactions (drone-to...	2021-01-13 12:00:00
TEAM	231.05	-3.14	-1.34	Atlassian Announces Date for Second Quarter Fiscal Year 2021 Results	2021-01-13 12:00:00
CZR	77.45	-1.63	-2.06	Silver Legacy Resort Casino at THE ROW Reno Unveils Plans for Its Over $47 Million Room Remodel	2021-01-13 12:00:00
MS-E	28.66	0.36	1.27	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 11:59:39
MS-L	25.84	0.22	0.86	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 11:59:39
MS-K	28.19	0.36	1.29	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 11:59:39
MS	75.125	-0.675	-0.89	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 11:59:39
MS-A	24.3035	0.2835	1.18	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 11:59:39
MS-I	28.24	0.39	1.4	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 11:59:39
LKFN	58.96	-0.63	-1.06	Statement of Changes in Beneficial Ownership (4)	2021-01-13 11:59:08
ATSG	27.35	-1.26	-4.4	ATSG Named One of America’s Best Small-Cap Companies of 2021	2021-01-13 11:59:00
LKFN	58.96	-0.63	-1.06	Statement of Changes in Beneficial Ownership (4)	2021-01-13 11:56:10
GLSSP	0	0	0	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 11:55:41
GS-A	23.724	0.354	1.51	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 11:55:41
GS-K	28.4415	0.2015	0.71	Prospectus Filed Pursuant to Rule 424(b)(2) (424b2)	2021-01-13 11:55:41
